Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Schedule_Component,Chrome 136.0.0.0,,,08-05-2025 09:22:25,08-05-2025 09:27:40,5m - 15.237s,FAILED
,,,,,,,
Test Cases/Schedule_Component,Chrome 136.0.0.0,,,08-05-2025 09:26:23,08-05-2025 09:27:40,1m - 17.048s,FAILED
"openBrowser("""")",Chrome 136.0.0.0,,,08-05-2025 09:26:23,08-05-2025 09:26:24,1.556s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 136.0.0.0,,,08-05-2025 09:26:24,08-05-2025 09:26:27,2.197s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Username_input""), ""annlev"")",Chrome 136.0.0.0,,,08-05-2025 09:26:27,08-05-2025 09:26:27,0.798s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Password_input""), ""aeHFOx8jV/A="")",Chrome 136.0.0.0,,,08-05-2025 09:26:27,08-05-2025 09:26:28,0.484s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/button_Image ID 1_button""))",Chrome 136.0.0.0,,,08-05-2025 09:26:28,08-05-2025 09:26:28,0.414s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/a_Schedule""))",Chrome 136.0.0.0,,,08-05-2025 09:26:28,08-05-2025 09:26:30,1.612s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/button_New Event""))",Chrome 136.0.0.0,,,08-05-2025 09:26:30,08-05-2025 09:26:30,0.589s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""), ""Morning running"")",Chrome 136.0.0.0,,,08-05-2025 09:26:30,08-05-2025 09:26:31,0.729s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""), ""let's do sport"")",Chrome 136.0.0.0,,,08-05-2025 09:26:31,08-05-2025 09:26:32,0.692s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""), ""2025-05-08"")",Chrome 136.0.0.0,,,08-05-2025 09:26:32,08-05-2025 09:26:33,0.681s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/div_Duration (minutes)""))",Chrome 136.0.0.0,,,08-05-2025 09:26:33,08-05-2025 09:26:33,0.395s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""))",Chrome 136.0.0.0,,,08-05-2025 09:26:33,08-05-2025 09:26:33,0.497s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""), ""60"")",Chrome 136.0.0.0,,,08-05-2025 09:26:33,08-05-2025 09:26:34,0.662s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/div_PublicPrivate""))",Chrome 136.0.0.0,,,08-05-2025 09:26:34,08-05-2025 09:26:35,0.435s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""), ""10"")",Chrome 136.0.0.0,,,08-05-2025 09:26:35,08-05-2025 09:26:35,0.652s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""), ""Gedimino 20"")",Chrome 136.0.0.0,,,08-05-2025 09:26:35,08-05-2025 09:26:36,0.748s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/button_Save Event""))",Chrome 136.0.0.0,,,08-05-2025 09:26:36,08-05-2025 09:26:36,0.474s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/div_Morning running163000""), 0)",Chrome 136.0.0.0,,,08-05-2025 09:26:36,08-05-2025 09:26:37,0.316s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/button_Show Event Bookings""))",Chrome 136.0.0.0,,,08-05-2025 09:26:37,08-05-2025 09:27:08,31.683s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/td_vladktu.ltDecline""), 0)",Chrome 136.0.0.0,,,08-05-2025 09:27:08,08-05-2025 09:27:40,31.391s,FAILED
